Actor,Betweenness
Anupam Kher,1.0
Sahajak Boonthanakit,0.5967544500388198
Om Puri,0.526919266110364
Iko Uwais,0.5009414479550386
Ben Kingsley,0.4498362746160167
Christopher Lee,0.4413982390394648
Steven Yeun,0.4231285871033644
Danny Glover,0.3993372774755953
Haluk Bilginer,0.35968854857607446
Priyanka Chopra,0.3357061376409215
