Actor,Degree,DegreeCentrality,Closeness,PageRank,Betweenness
Yancey Arias,0.08424908424908426,0.0006312091772325593,0.8414812758130009,0.07005476412862473,0.0010541366259082168
Lee Lee-zen,0.06593406593406594,0.0004939897908776552,0.6416046997803593,0.09448385624746705,0.0035069372236292413
Elena Irureta,0.0695970695970696,0.000521433668148636,0.6843510610072088,0.05714913896233295,0.0
Tuva Olivia Remman,0.02564102564102564,0.0001921071408968659,0.6008793017134983,0.0489630183682053,0.0
Barry Qu,0.03296703296703297,0.0002469948954388276,0.5867422995760168,0.05211679112970767,0.0
Isabella Vazquez Morales,0.014652014652014652,0.00010977550908392337,0.6272630843660258,0.023381016427125492,0.0
David Theune,0.2564102564102564,0.001921071408968659,0.8710910554150378,0.17069631539870303,0.010354683045060672
Randy Thom,0.02564102564102564,0.0001921071408968659,0.8237556484218393,0.01946048612577998,0.0
Joe Cobden,0.02564102564102564,0.0001921071408968659,0.7429096703027331,0.0331150076256067,0.0
Mu Xuan Cheng,0.018315018315018316,0.0001372193863549042,0.0005588354941460861,0.06486223777538995,0.0
Simon Farnaby,0.03296703296703297,0.0002469948954388276,0.7994196973193972,0.027552258390451285,0.0
Emilian Oprea,0.02564102564102564,0.0001921071408968659,0.0007823696918045206,0.06486223777538994,0.0
Daniel J. Watts,0.04395604395604396,0.00032932652725177014,0.7973847611029257,0.03507858150706194,0.0
Lucas Balmaceda,0.05860805860805861,0.0004391020363356935,0.6012011326949112,0.10290081447342254,0.0016482059773116557
Monique Coleman,0.02197802197802198,0.00016466326362588507,0.7417641587938715,0.028708087305349624,0.0
Arkadiusz Bazak,0.018315018315018316,0.0001372193863549042,0.0005588354941460861,0.06486223777538995,0.0
Mohammed El Sadaany,0.05128205128205128,0.0003842142817937318,0.5398997051723984,0.06620443390566241,0.000615695518249534
Paritosh Tripathi,0.02564102564102564,0.0001921071408968659,0.619803569693902,0.0506957456890077,0.0
John Ashton,0.03663003663003663,0.0002744387727098084,0.8045821386853561,0.034953598427068355,0.0
Ezzat El Alaili,0.054945054945054944,0.00041165815906471265,0.5493782402204255,0.0925014287242997,1.8801776252928976e-05
Matt Bomer,0.21978021978021978,0.0016466326362588506,0.8699533548618584,0.16094294276429438,0.002861652739727564
Taeko Kawata,0.029304029304029304,0.00021955101816784674,0.6439050300100918,0.022996031682066563,0.0
Danielle Nicole,0.029304029304029304,0.00021955101816784674,0.717592948850755,0.01659445314590324,0.0
Molly Tarlov,0.02564102564102564,0.0001921071408968659,0.6597262659519468,0.048354852642655405,0.0
Phil Lollar,0.029304029304029304,0.00021955101816784674,0.731924964831038,0.03176258438007277,0.0
Yohannes Frezgi,0.03296703296703297,0.0002469948954388276,0.6131451837240472,0.051202224451004835,0.0
Jerry Lewis,0.06227106227106227,0.0004665459136066743,0.8201110817959802,0.05921142175179623,0.0005089048401737505
Aparajita Adhya,0.02564102564102564,0.0001921071408968659,0.5793175953359456,0.03799385661927021,0.0
John Huston,0.03663003663003663,0.0002744387727098084,0.0011176709882921721,0.06486223777538995,0.0
Judy Collins,0.03296703296703297,0.0002469948954388276,0.6775201336843105,0.0528765795719168,0.0
Andrzej Konopka,0.03296703296703297,0.0002469948954388276,0.5545146830116182,0.054827806154785885,0.0
Miguel A. Núñez Jr.,0.16117216117216118,0.001207530599923157,0.797007310787356,0.20999737757014647,0.07187689424956344
Nora Navas,0.18681318681318682,0.001399637740820023,0.6928026882765084,0.20569942940854918,0.025898853173666813
Anjana Keerthi,0.018315018315018316,0.0001372193863549042,0.5484486830318768,0.03963605959375821,0.0
Steve Eastin,0.03296703296703297,0.0002469948954388276,0.8083914591696562,0.025943133143007033,0.0
Dheer Charan Srivastav,0.02564102564102564,0.0001921071408968659,0.559033077707018,0.06370352279085227,0.0
Thomas Jane,0.2564102564102564,0.001921071408968659,0.8947442227782327,0.23501980055846908,0.015354740037279449
Silvio Rodas,0.04395604395604396,0.00032932652725177014,0.5434064431684215,0.06189242870913329,0.0
Tomás Wicz,0.02564102564102564,0.0001921071408968659,0.3936306311571755,0.05622948877102438,0.0
Elena Bellei,0.03296703296703297,0.0002469948954388276,0.001005903889462955,0.06486223777538996,0.0
Tammy Blanchard,0.1391941391941392,0.001042867336297272,0.8627897542471193,0.11343327045656679,0.0036403643250957317
Xenia Goodwin,0.03663003663003663,0.0002744387727098084,0.7168291774333745,0.06452040584053842,0.00012197401787842275
Kamil McFadden,0.02564102564102564,0.0001921071408968659,0.6746432784987644,0.03752186929021319,0.0
Vincent Cassel,0.014652014652014652,0.00010977550908392337,0.6361236901344891,0.019920351282686426,0.0
Alice Bocchi,0.029304029304029304,0.00021955101816784674,0.6540526250478825,0.03644612362892899,0.0
Mahesh Gupta,0.02564102564102564,0.0001921071408968659,0.6119504697098953,0.047867830560969084,0.0
Scarlett Estevez,0.04395604395604396,0.00032932652725177014,0.7276197564357267,0.0483371787919343,0.0
Pepe Ocio,0.13553113553113552,0.0010154234590262913,0.7278381834665193,0.1081416680279835,0.0020922928962572745
Kevin Kline,0.17582417582417584,0.0013173061090070806,0.877344835572024,0.13489095173629834,0.003889968320546073
Trezzo Mahoro,0.10256410256410256,0.0007684285635874636,0.8065949858945014,0.11458418432114918,0.0008765669206858267
Kim Do-yeon,0.08058608058608059,0.0006037652999615785,0.4850613989108644,0.06291897635633308,0.0
Collin Wilcox Paxton,0.03296703296703297,0.0002469948954388276,0.6262423804111994,0.04839624647631546,0.0
Veruska Rossi,0.03296703296703297,0.0002469948954388276,0.5896274823566032,0.06030414471732952,0.0
Cameron Monaghan,0.03663003663003663,0.0002744387727098084,0.7885927650965673,0.03194345831914787,0.0
Atharva Upasni,0.03296703296703297,0.0002469948954388276,0.5800327269595505,0.04376292784448312,0.0
Sidney Kean,0.054945054945054944,0.00041165815906471265,0.7483995234067772,0.051561462906608506,0.0
Bob Clendenin,0.12087912087912088,0.0009056479499423678,0.8076697580215328,0.06517999631367737,0.0
Vuyo Dabula,0.03296703296703297,0.0002469948954388276,0.709304842871436,0.04787305035502497,0.0
Aida,0.018315018315018316,0.0001372193863549042,0.6585436075725887,0.03165880246109998,0.0
Shreyas Talpade,0.25274725274725274,0.0018936275316976782,0.7152516372647353,0.2234018722112928,0.003873142745170611
Debby Ryan,0.10989010989010989,0.0008233163181294253,0.8362743339633834,0.13177383603941614,0.019795893451902538
Felipe Esparza,0.14285714285714285,0.001070311213568253,0.8672089047220493,0.0960494430329824,0.011223347682710437
Taro Ishida,0.029304029304029304,0.00021955101816784674,0.5011181613376599,0.05123516206691298,0.0
Brittany Howard,0.047619047619047616,0.000356770404522751,0.7453992068128016,0.05424207816635683,0.0
Emma Clifford,0.13553113553113552,0.0010154234590262913,0.8577473060077971,0.06784692457008974,0.0
Rasmus Hardiker,0.0989010989010989,0.0007409846863164828,0.8166086236047772,0.11825878935932034,0.007323620527710654
Lexi Ainsworth,0.03296703296703297,0.0002469948954388276,0.7644740410021629,0.033280883956896185,0.0
Too $hort,0.1282051282051282,0.0009605357044843295,0.7596548504539957,0.06893536603091065,0.0
Txell Aixendri,0.07692307692307693,0.0005763214226905977,0.689665373368681,0.08400693099620327,0.0007754842685264635
Gunnar Sizemore,0.02564102564102564,0.0001921071408968659,0.680230731247475,0.03645495289091321,0.0
Vincent Piazza,0.040293040293040296,0.00030188264998078925,0.7512843871815369,0.045699052495457956,0.0
Mostafa Abd Elsalam,0.03663003663003663,0.0002744387727098084,0.5146461987807569,0.04337042091920747,0.0
Danny DeVito,0.21978021978021978,0.0016466326362588506,0.904747333776149,0.1663374181094406,0.008424132204316497
Ömer Duran,0.029304029304029304,0.00021955101816784674,0.4265332474834369,0.059217174754204,0.0
Adinath Kothare,0.02564102564102564,0.0001921071408968659,0.5650443261584928,0.058596907782653605,0.0
Nikki Leigh,0.02564102564102564,0.0001921071408968659,0.7684087091560231,0.03147666612219061,0.0
Tanya Nasr,0.02197802197802198,0.00016466326362588507,0.0006706025929753034,0.06486223777538992,0.0
Aleksandra Skraba,0.02197802197802198,0.00016466326362588507,0.43309789967453705,0.054353861441666505,0.0
Paresh Ganatra,0.05128205128205128,0.0003842142817937318,0.7546939588624931,0.0430727730745322,0.0032886621910597053
Anna Ben,0.02564102564102564,0.0001921071408968659,0.5636230920511234,0.04656087454170041,0.0
Felix Roco,0.04395604395604396,0.00032932652725177014,0.5098840828412322,0.0791469371958273,0.00023590609307547983
Peter Dinklage,0.1282051282051282,0.0009605357044843295,0.8880716739800888,0.09597939897347339,0.005825412778367288
Sadie Sink,0.19413919413919414,0.0014545254953619846,0.85414538255043,0.18152853299605304,0.005936844382141022
Gillian Anderson,0.14652014652014653,0.0010977550908392337,0.8947904518681448,0.12442185768776476,0.026191471851453704
Eric McCormack,0.018315018315018316,0.0001372193863549042,0.6710135942965948,0.04465465590579432,0.0
Janae Marie Kroczaleski,0.0,0.0,0.0,0.0,0.0
Tia Mowry-Hardrict,0.0695970695970696,0.000521433668148636,0.8014491508055611,0.09806031963511129,0.0010141881373205777
Manasa Radhakrishnan,0.018315018315018316,0.0001372193863549042,0.5409163111959877,0.03385071061406354,0.0
Melanie Lynskey,0.2600732600732601,0.00194851528623964,0.9015379123657672,0.2197105305435922,0.015238119427140446
Lizze Broadway,0.03296703296703297,0.0002469948954388276,0.7083557321491175,0.04035083813408135,0.0
Julio Jung,0.02564102564102564,0.0001921071408968659,0.0009941389316914585,0.056585916013515744,0.0
Iqbal Theba,0.029304029304029304,0.00021955101816784674,0.7855981025577884,0.02642957096517479,0.0
Madoka Yoshida,0.054945054945054944,0.00041165815906471265,0.5415687570919292,0.056652828096725324,0.0
Adam Gussow,0.003663003663003663,2.7443877270980843e-05,0.00011176709882921722,0.06486223777538995,0.0
Alex Starke,0.02564102564102564,0.0001921071408968659,0.620997361883052,0.05530280314825577,0.0
Aneesh Menon,0.04395604395604396,0.00032932652725177014,0.6070718552978822,0.06693213559040394,0.005626478267445528
Ji Chang-wook,0.04395604395604396,0.00032932652725177014,0.5265471350637617,0.06694201200963272,0.00011225293928219763
Vlasta Vrana,0.029304029304029304,0.00021955101816784674,0.6403067692047663,0.03941136374615688,0.0
Retta,0.2454212454212454,0.0018387397771557166,0.8912185260062487,0.19482061036864226,0.013648811267013559
Camilo Borges,0.047619047619047616,0.000356770404522751,0.4944065840399023,0.051865252586215285,0.0
Christine Choueiri,0.029304029304029304,0.00021955101816784674,0.44740017936160553,0.05465338576847972,0.0
Lynne Koplitz,0.0,0.0,0.0,0.0,0.0
Jitendra Kumar,0.047619047619047616,0.000356770404522751,0.5992308680909116,0.08628202955794975,0.00027313014640143254
Rapulana Seiphemo,0.06593406593406594,0.0004939897908776552,0.6926047808400748,0.10242534058928086,0.0020223762205937666
Ha Hee-ra,0.04395604395604396,0.00032932652725177014,0.4875427808454419,0.056317566902429665,0.0
Cayetana Guillén Cuervo,0.047619047619047616,0.000356770404522751,0.6334181527480968,0.04636462995069129,0.0
María Cecilia Sánchez,0.03663003663003663,0.0002744387727098084,0.5426305235264627,0.07540450126999032,3.8659702107687e-05
Alberto Jo Lee,0.03663003663003663,0.0002744387727098084,0.7015468660482288,0.03956707140592397,0.0
Jesse L. Martin,0.03663003663003663,0.0002744387727098084,0.7239480693205298,0.03998922785083651,0.0
Odd Magnus Williamson,0.08424908424908426,0.0006312091772325593,0.7440906942628636,0.08537291429373489,0.000642108239402197
Allene Quincy,0.02197802197802198,0.00016466326362588507,0.7411156961638392,0.022331658239353448,0.0
Lana Baric,0.03296703296703297,0.0002469948954388276,0.001005903889462955,0.06486223777538996,0.0
Camille De La Cruz,0.054945054945054944,0.00041165815906471265,0.7133912388484805,0.05969553923108966,0.0
Thomas Elms,0.04395604395604396,0.00032932652725177014,0.7435384747488377,0.04924771145150202,0.0
Tony Leung Ka Fai,0.040293040293040296,0.00030188264998078925,0.7785548683762659,0.040992406102680595,0.0
Samantha Scaffidi,0.03296703296703297,0.0002469948954388276,0.6422165125950255,0.05846184892876348,0.0
Brodie Smith,0.0,0.0,0.0,0.0,0.0
Isabella Licht Delgado,0.03296703296703297,0.0002469948954388276,0.582029430827952,0.052929644209975,0.0
Anna Ishii,0.014652014652014652,0.00010977550908392337,0.49545123875070496,0.03574765884768085,0.0
Javier Botet,0.13553113553113552,0.0010154234590262913,0.8095358931552586,0.15719888959594425,0.012919285345645043
Masami Iwasaki,0.06227106227106227,0.0004665459136066743,0.6922369735902926,0.04164277205367293,0.0
Mia Farrow,0.03296703296703297,0.0002469948954388276,0.7057535905362371,0.05492627388057724,0.0
Gloria Carovana,0.03663003663003663,0.0002744387727098084,0.43305148621664,0.06137549076986683,0.0
Enric Auquer,0.08058608058608059,0.0006037652999615785,0.7278032263293448,0.0903706895586819,0.0011788626939540664
Adrián Ladrón,0.06227106227106227,0.0004665459136066743,0.6982777489775933,0.05360022444773255,0.0
Richard Pepple,0.029304029304029304,0.00021955101816784674,0.7416552466718872,0.04855797587438078,0.0
Rômulo Arantes Neto,0.03296703296703297,0.0002469948954388276,0.6686596800882514,0.04318145745740185,0.0
Sevak Hakoyan,0.029304029304029304,0.00021955101816784674,0.0008941367906337378,0.06486223777538998,0.0
Margarita Rosa de Francisco,0.05128205128205128,0.0003842142817937318,0.7370379377431906,0.0495866942911676,0.0
Gil Alexandre,0.02564102564102564,0.0001921071408968659,0.0007823696918045206,0.06486223777538994,0.0
Jurnee Smollett-Bell,0.03296703296703297,0.0002469948954388276,0.7374010790819895,0.039920519356815606,0.0
John Henry Faulk,0.03296703296703297,0.0002469948954388276,0.6243684365037262,0.05754878473105891,0.0
Sairi Ito,0.09523809523809523,0.000713540809045502,0.7041384718148287,0.10027338713544352,0.015694772582883734
Sethu Lakshmi,0.02564102564102564,0.0001921071408968659,0.5540686301394906,0.04787272936873603,0.0
Artur Beschastny,0.03296703296703297,0.0002469948954388276,0.6517739533433334,0.05554465874493047,0.0
Vidhur Rajarajan,0.02564102564102564,0.0001921071408968659,0.47389303905587277,0.06356873152918485,0.0
Yameen Shah,0.02564102564102564,0.0001921071408968659,0.5070688818618346,0.05857751878532553,0.0
Tomohisa Hashizume,0.06593406593406594,0.0004939897908776552,0.647104980810189,0.024053636280329648,0.0
Frank Schorpion,0.03296703296703297,0.0002469948954388276,0.7816370611560656,0.03169568637536458,0.0
Maine Mendoza,0.02197802197802198,0.00016466326362588507,0.5099698800249036,0.029391596842229605,0.0
Lun Hua,0.03296703296703297,0.0002469948954388276,0.679038139461936,0.04914966368313533,0.0
Alina Foley,0.03663003663003663,0.0002744387727098084,0.7950315447069162,0.03604265195752309,0.0
Lindsay Czarniak,0.01098901098901099,8.233163181294254e-05,0.6323278582493987,0.03609774533385777,0.0
Ellen Kennedy,0.08424908424908426,0.0006312091772325593,0.7472508506336604,0.056312267995398964,5.035546850866982e-05
Moro Morooka,0.02197802197802198,0.00016466326362588507,0.5824740782026273,0.027375332269243515,0.0
Romane Bohringer,0.047619047619047616,0.000356770404522751,0.7061688122560726,0.05701017306959464,0.0
Raima Sen,0.1794871794871795,0.0013447499862780613,0.7580255868339106,0.17351808901935392,0.009881852882220966
Nabil Mallat,0.03663003663003663,0.0002744387727098084,0.6830477628591228,0.05430815627695882,0.0
Juan Sebastián Aragón,0.07692307692307693,0.0005763214226905977,0.6368220882099556,0.09241870349874463,0.00022537377680820555
Marcus Scribner,0.09157509157509157,0.0006860969317745211,0.8185826665316182,0.06881240310748513,0.0005268460108337591
G-Eazy,0.029304029304029304,0.00021955101816784674,0.7238918712343326,0.05086359677540199,0.0
Keith Lee,0.029304029304029304,0.00021955101816784674,0.7625505576278329,0.03350246329125219,0.0
Mark Little,0.04395604395604396,0.00032932652725177014,0.7248787663164691,0.06385498718432872,0.0035718112513569216
Eva Fernández,0.03296703296703297,0.0002469948954388276,0.7026773241828624,0.030058725275000173,0.0
Azalia Ortiz,0.018315018315018316,0.0001372193863549042,0.7423637477036129,0.02482289206651517,0.0
Seth Morris,0.040293040293040296,0.00030188264998078925,0.6350240698155607,0.05556903685803142,0.0
Marisa Brown,0.014652014652014652,0.00010977550908392337,0.6502217859805514,0.02187912389213086,0.0
Yuri Suri,0.05860805860805861,0.0004391020363356935,0.7291251917120259,0.052134167272369386,0.0006210484910513368
Kuo Hua Chang,0.029304029304029304,0.00021955101816784674,0.5797109765778172,0.05124350351732476,0.0
Krittanai Arsalprakit,0.040293040293040296,0.00030188264998078925,0.5091709402786352,0.05127448796017216,0.0
Kenneth Desai,0.0989010989010989,0.0007409846863164828,0.7030400037115649,0.11095650783112448,0.008746447351582467
Ali Sheikh,0.03296703296703297,0.0002469948954388276,0.643853732373795,0.05213808651235411,0.0
Li Guangjie,0.08791208791208792,0.0006586530545035403,0.6750001392005434,0.10569748758964728,0.0018306146880493392
Sharon Miller,0.02197802197802198,0.00016466326362588507,0.7591886323357193,0.015169553319259232,0.0
Xavier Ywaya,0.02197802197802198,0.00016466326362588507,0.3889639328903419,0.05795424095010563,0.0
