Actor,Degree
Anupam Kher,1.0
Samuel L. Jackson,0.8754578754578755
Takahiro Sakurai,0.8351648351648352
Fred Tatasciore,0.8278388278388278
Yuichi Nakamura,0.8168498168498168
Yuki Kaji,0.8058608058608059
Shah Rukh Khan,0.7692307692307693
Fred Armisen,0.7655677655677655
Akshay Kumar,0.706959706959707
Katsuyuki Konishi,0.6996336996336996
