id,country,genres_list,Community,Degree_norm,PageRank_norm,Closeness_norm,Betweenness_norm
Adam Shankman,"Canada, United Kingdom, United States","Children & Family Movies, Comedies, Dramas, Music & Musicals, Romantic Movies",0,0.0975609756097561,0.07835350060653834,0.5773039796011292,0.00613060542142406
Clay Glen,Australia,"Children & Family Movies, Dramas, International Movies, Sports Movies",0,0.07317073170731707,0.06006231536305406,0.652563049570007,0.007177335768456222
Documentaries,,"Alastair Fothergill, Cosima Spender, Gerardo Olivares, Joe Berlinger, Justin Webster, Kim Nguyen, Luis Ara, Lygia Barbosa da Silva, Maroun Baghdadi, Martin Scorsese, Noah Baumbach, Philippe Aractingi, Raphael Erichsen, Scott Hicks",5,0.3170731707317073,0.3308936672958075,0.5641470336501646,0.12485698731863679
TV Dramas,,"Anurag Kashyap, Patricia Font, Sion Sono, Vikramaditya Motwane",4,0.07317073170731707,0.06994791724987116,0.4465383206479711,0.0014963330457676833
Fernando Ayllón,"Brazil, Spain","Comedies, International Movies, Romantic Movies, Stand-Up Comedy",0,0.07317073170731707,0.08772581457946034,0.6328994955743791,0.03648589449416952
Jeremy Saulnier,"France, United States","Action & Adventure, Comedies, Cult Movies, Dramas, Horror Movies, Independent Movies, Thrillers",2,0.14634146341463414,0.12350489715097288,0.6832105419303799,0.03426388556284997
Martin Scorsese,"France, Italy, Japan, United Kingdom, United States","Children & Family Movies, Classic Movies, Comedies, Documentaries, Dramas, Independent Movies, Music & Musicals, Sports Movies, Thrillers",5,0.1951219512195122,0.16943116774797923,0.7376119172584131,0.03740350295527564
Jun Lana,"Canada, United Kingdom, United States","Comedies, Dramas, Independent Movies, International Movies, LGBTQ Movies, Romantic Movies",0,0.12195121951219512,0.11437978364429538,0.7263806655777869,0.0329463029603308
Tsutomu Mizushima,Japan,"Action & Adventure, Anime Features, Anime Series, International Movies, International TV Shows",1,0.0975609756097561,0.10304036191665293,0.7044529837251357,0.03936076014208825
Kids' TV,,Thomas Astruc,3,0.0,0.049145346740282043,0.0,0.0
Mateo Gil,Spain,"Comedies, Crime TV Shows, International Movies, International TV Shows, Romantic Movies, Spanish-Language TV Shows",4,0.12195121951219512,0.13651765426309498,0.7844245293053932,0.1756038386542483
David Pastor,"Spain, United States","Horror Movies, Independent Movies, International Movies, Sci-Fi & Fantasy, Thrillers",2,0.0975609756097561,0.08125876731169593,0.7044529837251357,0.011934510767031182
TV Thrillers,,Eli Roth,1,0.0,0.004940544133803891,0.20357856666983914,0.0
Cosima Spender,"Italy, United Kingdom","Crime TV Shows, Documentaries, Docuseries, International Movies, International TV Shows, Sports Movies",4,0.12195121951219512,0.1219642673152285,0.7044529837251357,0.03772915923781198
Yorgos Lanthimos,"France, United Kingdom","Comedies, Dramas, Independent Movies, International Movies, Romantic Movies, Thrillers",5,0.12195121951219512,0.09888265372290414,0.7263806655777869,0.019538266460194798
Dramas,,"Adam Shankman, Anurag Kashyap, Ashutosh Gowariker, Ben Wheatley, Bong Joon Ho, Clay Glen, Clint Eastwood, Gerardo Olivares, Guillermo del Toro, Jalil Lespert, Jane Campion, Jeremy Saulnier, Joe Berlinger, Jun Lana, Justin G. Dyck, Kim Nguyen, Lasse Hallström, Maroun Baghdadi, Martin Scorsese, Mike Newell, Navaniat Singh, Noah Baumbach, Noam Murro, Patricia Font, Paul Weitz, Peter Chelsom, Philippe Aractingi, Priyadarshan, Quentin Tarantino, Robert Altman, Rohit Jugraj, Ron Howard, Sean Cisterna, Sion Sono, Terry Gilliam, Tim Burton, Vikramaditya Motwane, Yorgos Lanthimos, Youssef Chahine",5,0.926829268292683,0.8768384900680981,0.9686243925850384,0.5411634391479384
LGBTQ Movies,,"Jun Lana, Lygia Barbosa da Silva",0,0.024390243902439025,0.028580509201867152,0.3496232228367795,0.002047301350840244
Stand-Up Comedy,,Fernando Ayllón,0,0.0,0.0033932934833369216,0.28356164383561644,0.0
Children & Family Movies,,"Adam Shankman, Bruno Garotti, Clay Glen, Justin G. Dyck, Lasse Hallström, Martin Scorsese, Robert Altman, Robert Vince, Ron Howard, Sean Cisterna, Tim Burton",0,0.24390243902439024,0.2271878113384914,0.4682091720273916,0.020622570492557817
Comedies,,"Adam Shankman, Anurag Kashyap, Ashutosh Gowariker, Ben Wheatley, Bong Joon Ho, Bruno Garotti, Fernando Ayllón, Gerardo Olivares, Jeremy Saulnier, Jun Lana, Justin G. Dyck, Lasse Hallström, Martin Scorsese, Mateo Gil, McG, Mike Newell, Navaniat Singh, Noah Baumbach, Noam Murro, Patricia Font, Paul Weitz, Priyadarshan, Robert Altman, Robert Vince, Rohit Jugraj, Ron Howard, Scott Hicks, Terry Gilliam, Tim Burton, Vikramaditya Motwane, Yorgos Lanthimos",0,0.7317073170731707,0.7042574564470632,0.8675949367088609,0.2541552722855478
Classic Movies,,"Brian De Palma, Clint Eastwood, Jane Campion, Lasse Hallström, Maroun Baghdadi, Martin Scorsese, Mike Newell, Quentin Tarantino, Terry Gilliam, Youssef Chahine",5,0.21951219512195122,0.19965735929858508,0.4608914361109966,0.023869137177643197
Ashutosh Gowariker,United Kingdom,"Action & Adventure, Comedies, Dramas, International Movies, Music & Musicals, Romantic Movies",0,0.12195121951219512,0.09886543972181835,0.7044529837251357,0.014449414557968653
Kobun Shizuno,Japan,"Action & Adventure, Anime Features, International Movies, TV Shows",1,0.07317073170731707,0.07167928389109672,0.559823592782117,0.01223345550021242
Seung-uk Jo,South Korea,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",4,0.04878048780487805,0.10310523565274561,0.3408614218428026,0.03218455354890799
British TV Shows,,"Alastair Fothergill, Noam Murro",3,0.024390243902439025,0.035295490656777506,0.4056119449778581,0.0007552467511645386
