Actor,Community_Louvain
Emile Hirsch,4
Jason Isaacs,6
Seema Biswas,0
Tom Kenny,4
Tomokazu Seki,1
Robert De Niro,5
John Malkovich,5
Colin Farrell,5
Kiernan Shipka,5
Sachin Khedekar,0
Ken Marino,5
Alison Brie,5
Kelly Macdonald,6
Michael Cera,5
Clint Dyer,6
Natasha Lyonne,5
Mike Vogel,5
Alec Baldwin,5
Anthony Mackie,5
Danny McBride,5
Patricia Clarkson,5
Hassan Hosny,-1
Rosemarie DeWitt,6
Vera Farmiga,5
David Harbour,5
Sandra Oh,5
Sam Neill,5
Idris Elba,5
Michael Smiley,6
James Purefoy,4
Mai Nakahara,1
Jeff Bennett,4
Shinichiro Miki,1
Denzel Washington,5
Tina Mba,3
Yuki Ono,1
Kazuya Nakai,1
Zachary Quinto,5
Natasha Leggero,5
Gary Oldman,5
Dee Bradley Baker,4
Diedrich Bader,4
Mahesh Manjrekar,0
Julianne Moore,5
Samira Wiley,5
Cameron Diaz,5
Oscar Isaac,6
Hiroki Touchi,1
Vipin Sharma,0
Sterling K. Brown,5
Rajkummar Rao,0
Craig Robinson,5
Luis Tosar,7
Damián Alcázar,7
Seth Green,5
Soma Saito,1
Michael Stuhlbarg,5
Natalie Dormer,6
Christopher Lee,5
Debi Derryberry,1
Kana Asumi,1
Houko Kuwashima,1
Woody Harrelson,5
Michael Madsen,5
Michiko Neya,1
Bobby Moynihan,5
Kate Berlant,5
Octavia Spencer,5
Chris Pine,5
Alfre Woodard,2
Rosamund Pike,6
Jonah Hill,5
Nikki Glaser,5
Dylan Baker,5
Jada Pinkett Smith,5
Mithun Chakraborty,0
Shakti Kapoor,0
Abhishek Bachchan,0
Bryce Papenbrook,1
Bill Nighy,6
Whoopi Goldberg,5
Kim Coates,5
Adam Pally,5
Carlos Alazraqui,4
Tim Blake Nelson,5
Richard Gere,2
Eric André,5
Benedict Cumberbatch,5
Aubrey Plaza,5
Joe Cole,6
John Kassir,4
Miguel Sandoval,5
Bruce McGill,5
Anna Kendrick,5
Danielle Brooks,5
Sam Rockwell,5
Kevin Spacey,5
Johnny Knoxville,2
Michael Shannon,5
Akio Otsuka,1
Mamiko Noto,1
Chadwick Boseman,5
Anthony Hopkins,5
Anna Faris,2
Kevin Corrigan,5
Chris Evans,5
Vincent Tong,4
Jackie Chan,4
Forest Whitaker,6
Jessica Brown Findlay,6
Manolo Cardona,7
Olivia Colman,6
Katrina Kaif,0
Kaori Nazuka,1
Rishi Kapoor,0
Divya Dutta,0
Daisuke Namikawa,1
Omoni Oboli,3
Paul Bettany,5
Steve Blum,4
Atsuko Tanaka,1
Matt Walsh,2
Sarah Paulson,5
Christopher Mintz-Plasse,2
Steven Weber,5
Chris O'Dowd,5
Rikiya Koyama,1
Will Arnett,5
Amanda Seyfried,5
Tatsuhisa Suzuki,1
David Tennant,4
Connie Britton,5
Seann William Scott,2
Kelsey Grammer,4
Ami Koshimizu,1
Nana Patekar,0
David Schwimmer,5
Todd Haberkorn,1
Danny Glover,5
Bob Saget,5
Chris Pratt,2
Nicole Kidman,5
Maaya Uchida,1
Miguel Ángel Silvestre,7
Junya Enoki,1
Joe Pantoliano,5
Leslie Bibb,2
Matt Damon,5
Ritchie Montgomery,5
Mae Whitman,4
Thomas Haden Church,5
Kevin James,5
Kisho Taniyama,1
Cherami Leigh,1
Jon Bernthal,5
Maxi Iglesias,7
Jessica Alba,5
Keiji Fujiwara,1
Catherine O'Hara,4
Kevin Hart,5
Wyatt Russell,6
Rob Corddry,5
Rhys Darby,6
Steve Coogan,5
Benicio Del Toro,5
John DiMaggio,4
Michael Chiklis,5
André Holland,5
Irrfan Khan,0
Deon Cole,5
Ben Schwartz,5
Eddie Marsan,5
Jenny Slate,5
Nicholas Hoult,6
Tomoaki Maeno,1
Alan Cumming,5
Eddie Izzard,6
Brian Drummond,4
Stephen Root,4
Heather Graham,5
Stephen Lang,5
Missi Pyle,5
Zach Galifianakis,5
Patrick Wilson,5
Toby Kebbell,6
Mary Steenburgen,5
Anika Noni Rose,4
Shahid Kapoor,0
Maria Bello,5
J.K. Simmons,5
Snoop Dogg,5
Sigourney Weaver,6
Richard Jenkins,5
Method Man,5
Eddie Murphy,5
Courtney B. Vance,5
Maurice LaMarche,4
Jason Sudeikis,2
Lacey Chabert,4
Ryo Hirohashi,1
Sacha Baron Cohen,5
Evan Peters,5
Satomi Sato,1
John Carroll Lynch,5
James Fox,5
Matthew Mercer,1
Takuma Terashima,1
Ryan Phillippe,6
Cassandra Morris,1
Winona Ryder,5
Kate Bosworth,2
Becky Ann Baker,5
Russell Peters,5
Chloë Sevigny,5
Jimmy Shergill,0
Jack Whitehall,5
Johny Lever,0
Bryan Cranston,5
Demet Akbağ,6
Aasif Mandvi,2
Mario Casas,7
Jodie Whittaker,6
Giancarlo Esposito,4
Jennifer Coolidge,5
Kristin Scott Thomas,6
Mohnish Bahl,0
Bob Balaban,6
Prakash Raj,0
Manoj Pahwa,0
Frank Grillo,5
Josh Duhamel,2
Alice Eve,6
Konkona Sen Sharma,0
Michael Kelly,6
Saurabh Shukla,0
Haluk Bilginer,6
Paul Dobson,4
Stephen Tobolowsky,5
