Source,Target,Value
Manoj Joshi,Paresh Rawal,4
Paresh Rawal,Rajpal Yadav,4
Manoj Joshi,Rajpal Yadav,3
Ai Kayano,Takahiro Sakurai,6
Jun Fukuyama,Takahiro Sakurai,5
Ai Kayano,Junichi Suwabe,3
Ai Kayano,Yuichi Nakamura,2
Ai Kayano,Jun Fukuyama,1
Naseeruddin Shah,Vijay Raaz,2
Ajay Devgn,Kareena Kapoor,3
Aamir Khan,Anil Kapoor,2
Akshay Kumar,Anil Kapoor,3
Akshay Kumar,Asrani,4
Anil Kapoor,Paresh Rawal,1
Anil Kapoor,Asrani,1
Asrani,Paresh Rawal,5
Boman Irani,Vijay Raaz,1
Tinnu Anand,Vijay Raaz,1
Sanjay Mishra,Vijay Raaz,2
Jigna Bhardwaj,Sonal Kaushal,2
Debi Derryberry,Erin Fitzgerald,7
Ai Kayano,Kana Hanazawa,4
Nawazuddin Siddiqui,Radhika Apte,2
Naseeruddin Shah,Paresh Rawal,1
Akshay Kumar,Kareena Kapoor,3
Akshay Kumar,Om Puri,2
Om Puri,Paresh Rawal,3
Akshay Kumar,Manoj Bajpayee,3
Akshay Kumar,Anupam Kher,5
Akshay Kumar,Rajesh Sharma,1
Anupam Kher,Manoj Bajpayee,4
Anupam Kher,Rajesh Sharma,2
Anupam Kher,Salman Khan,5
Salman Khan,Sanjay Mishra,1
Manoj Joshi,Salman Khan,2
Anupam Kher,Manoj Joshi,2
Manoj Joshi,Sanjay Mishra,1
Om Puri,Rajpal Yadav,3
Aamir Khan,Salman Khan,1
Aamir Khan,Paresh Rawal,1
Paresh Rawal,Salman Khan,2
Ashleigh Ball,Diana Kaarina,2
James Franco,John Cleese,1
Junichi Suwabe,Kana Hanazawa,6
Kana Hanazawa,Takahiro Sakurai,9
Amitabh Bachchan,Tinnu Anand,2
Akshay Kumar,Jackie Shroff,2
Gulshan Grover,Shah Rukh Khan,2
Amitabh Bachchan,Amrish Puri,2
Anupam Kher,Kareena Kapoor,1
Anupam Kher,Sanjay Dutt,3
Amitabh Bachchan,Shah Rukh Khan,3
Amitabh Bachchan,Kareena Kapoor,3
Kareena Kapoor,Shah Rukh Khan,3
Saif Ali Khan,Shah Rukh Khan,1
Salman Khan,Shah Rukh Khan,1
Anupam Kher,Shah Rukh Khan,4
Rajesh Sharma,Salman Khan,1
Kana Hanazawa,Yoshimasa Hosoya,3
Takahiro Sakurai,Yoshimasa Hosoya,5
Ai Kayano,Yoshimasa Hosoya,3
Tomokazu Sugita,Yoshimasa Hosoya,3
Kana Hanazawa,Tomokazu Sugita,6
Ai Kayano,Tomokazu Sugita,4
Keith David,Mike Epps,1
Ai Kayano,Miyuki Sawashiro,2
Saif Ali Khan,Salman Khan,2
Laura Bailey,Mamoru Miyano,2
Boman Irani,Manoj Joshi,1
Brian Drummond,Kate Higgins,1
Ai Kayano,Hiroshi Kamiya,2
Ai Kayano,Daisuke Ono,3
Ai Kayano,Yuki Kaji,1
Mamoru Miyano,Takahiro Sakurai,9
