Source,Target,Value
Kenjiro Tsuda,Yuki Kaji,4
Kaito Ishikawa,Yoko Hikasa,2
Jun Fukuyama,Kaito Ishikawa,2
Jun Fukuyama,Yoko Hikasa,3
Kenjiro Tsuda,Yoshimasa Hosoya,1
Chris Parnell,Jane Lynch,1
Boman Irani,Kareena Kapoor,3
Boman Irani,Paresh Rawal,3
Kaito Ishikawa,Yuki Kaji,3
Kenjiro Tsuda,Nobuhiko Okamoto,1
Adam Scott,Elizabeth Banks,2
Bobby Cannavale,Joseph Gordon-Levitt,1
Bobby Cannavale,Samuel L. Jackson,1
Bobby Cannavale,Dermot Mulroney,1
Joseph Gordon-Levitt,Samuel L. Jackson,1
Dermot Mulroney,Joseph Gordon-Levitt,1
Dermot Mulroney,Samuel L. Jackson,1
Akshay Kumar,Paresh Rawal,7
Yoshitsugu Matsuoka,Yuki Kaji,1
Nobuhiko Okamoto,Yoshitsugu Matsuoka,3
Nobuhiko Okamoto,Takahiro Sakurai,4
Nobuhiko Okamoto,Yuki Kaji,4
Nobuhiko Okamoto,Takehito Koyasu,1
Dennis Quaid,Gerard Butler,2
Liev Schreiber,Terrence Howard,2
Elizabeth Banks,Maya Rudolph,1
Kevin Michael Richardson,Tony Hale,1
James Cromwell,Kathy Bates,1
Joseph Gordon-Levitt,Nicolas Cage,1
Fred Armisen,Jane Lynch,1
Fred Armisen,Jon Hamm,2
Jane Lynch,Maya Rudolph,1
Jon Hamm,Maya Rudolph,1
Jane Lynch,Jon Hamm,1
Mark Hamill,Tara Strong,2
Adam Sandler,Steve Buscemi,5
Maya Rudolph,Steve Buscemi,1
Ai Kayano,Takahiro Sakurai,6
Jun Fukuyama,Takahiro Sakurai,5
Ai Kayano,Nobuhiko Okamoto,2
Ai Kayano,Junichi Suwabe,3
Ai Kayano,Yuichi Nakamura,2
Ai Kayano,Jun Fukuyama,1
Junichi Suwabe,Nobuhiko Okamoto,1
Nobuhiko Okamoto,Yuichi Nakamura,4
Jun Fukuyama,Nobuhiko Okamoto,2
Saori Hayami,Yoshitsugu Matsuoka,3
Akshay Kumar,Anil Kapoor,3
Anil Kapoor,Paresh Rawal,1
Kana Hanazawa,Nobuhiko Okamoto,4
Eri Kitamura,Nobuhiko Okamoto,1
Daisuke Ono,Nobuhiko Okamoto,3
Nobuhiko Okamoto,Tetsuya Kakihara,1
Hiroshi Kamiya,Nobuhiko Okamoto,2
Katsuyuki Konishi,Nobuhiko Okamoto,1
Eri Kitamura,Jun Fukuyama,3
Jun Fukuyama,Katsuyuki Konishi,2
Eri Kitamura,Kana Hanazawa,2
Kana Hanazawa,Tetsuya Kakihara,1
Kana Hanazawa,Katsuyuki Konishi,1
Eri Kitamura,Yuki Kaji,2
Tetsuya Kakihara,Yuki Kaji,2
Katsuyuki Konishi,Yuki Kaji,1
Daisuke Ono,Eri Kitamura,2
Eri Kitamura,Tetsuya Kakihara,2
Eri Kitamura,Hiroshi Kamiya,3
Eri Kitamura,Katsuyuki Konishi,3
Hiroshi Kamiya,Tetsuya Kakihara,1
Hiroshi Kamiya,Katsuyuki Konishi,1
Nick Swardson,Rob Riggle,2
Kaito Ishikawa,Takahiro Sakurai,2
Ai Kayano,Kana Hanazawa,4
Kaito Ishikawa,Kana Hanazawa,1
Ai Kayano,Kaito Ishikawa,2
Eri Kitamura,Rie Kugimiya,2
Eri Kitamura,Sayaka Ohara,3
Patrick Warburton,Tara Strong,1
Naseeruddin Shah,Paresh Rawal,1
Akshay Kumar,Kareena Kapoor,3
Akshay Kumar,Om Puri,2
Om Puri,Paresh Rawal,3
Akshay Kumar,Anupam Kher,5
Akshay Kumar,Rajesh Sharma,1
Anupam Kher,Rajesh Sharma,2
Kaito Ishikawa,Yoshimasa Hosoya,2
Kenjiro Tsuda,Takehito Koyasu,2
Chris Parnell,Jon Hamm,1
Chris Parnell,Fred Armisen,2
Miyuki Sawashiro,Nobuhiko Okamoto,1
Mamoru Miyano,Nobuhiko Okamoto,1
Junichi Suwabe,Kana Hanazawa,6
Kana Hanazawa,Takahiro Sakurai,9
Kana Hanazawa,Rie Kugimiya,1
Kana Hanazawa,Kazuhiko Inoue,1
Junichi Suwabe,Rie Kugimiya,3
Junichi Suwabe,Kazuhiko Inoue,1
Rie Kugimiya,Takahiro Sakurai,1
Kazuhiko Inoue,Takahiro Sakurai,2
Kazuhiko Inoue,Rie Kugimiya,1
Maya Rudolph,Will Forte,2
Gerard Butler,Morgan Freeman,2
Anupam Kher,Kareena Kapoor,1
Amitabh Bachchan,Shah Rukh Khan,3
Amitabh Bachchan,Kareena Kapoor,3
Kareena Kapoor,Shah Rukh Khan,3
Anupam Kher,Shah Rukh Khan,4
