Actor,Closeness
Alfred Molina,1.0
Samuel L. Jackson,0.9998185567010309
Lena Headey,0.9974657714586623
Gerard Butler,0.9899153213623705
Ben Kingsley,0.9880113122356334
Chloë Grace Moretz,0.9873514631742696
James Franco,0.9873112569836949
Willem Dafoe,0.9853932127616337
Nicolas Cage,0.9823987034035654
Helen Mirren,0.9821838009511694
