Actor,PageRank
Anupam Kher,1.0
Shah Rukh Khan,0.7909931138233284
Naseeruddin Shah,0.7092782040431344
Samuel L. Jackson,0.7040340866674951
Akshay Kumar,0.6952266680363215
Om Puri,0.6741300530381924
Paresh Rawal,0.6513862864667421
Fred Tatasciore,0.6512161131562749
Boman Irani,0.6340424511207869
Amitabh Bachchan,0.6289466411512673
