id,country,genres_list,Community,Degree_norm,PageRank_norm,Closeness_norm,Betweenness_norm
Jason Schwartzman,"Australia, Canada, Japan, Spain, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Crime TV Shows, Cult Movies, Dramas, Independent Movies, Music & Musicals, TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows",2,0.2391304347826087,0.2286674611342566,0.4238656195462478,0.18395456211041836
Action & Adventure,,"Alison Pill, Antonio Banderas, Anupam Kher, Ben Kingsley, Ben Whishaw, Chris O'Dowd, Edgar Ramírez, Fred Tatasciore, Gary Cole, Guy Pearce, Helen Mirren, Helena Bonham Carter, J.K. Simmons, James Cromwell, Jason Isaacs, Jason Schwartzman, Jay Baruchel, Jim Broadbent, Joe Pantoliano, John Cleese, John Leguizamo, Johnny Depp, Keith David, Laura Linney, Laurence Fishburne, Mae Whitman, Michael Palin, Mike Vogel, Morgan Freeman, Nicholas Hoult, Radhika Apte, Richard Armitage, Ron Perlman, Sam Neill, Samuel L. Jackson, Stephanie Sheh, Stephen Fry, Steven Yeun, Susan Sarandon, Sylvester Stallone, Terry Crews, Yuki Kaji",4,0.8913043478260869,0.8950924744010108,0.8912363067292643,0.9039536352110356
Steven Yeun,"Japan, South Korea, United States","Action & Adventure, Children & Family Movies, Classic & Cult TV, Comedies, Dramas, Faith & Spirituality, Independent Movies, International Movies, Kids' TV, TV Action & Adventure, TV Comedies, TV Dramas, TV Sci-Fi & Fantasy",2,0.2608695652173913,0.24911532440403084,0.43819811875367426,0.10250256504177473
Edgar Ramírez,"Brazil, France, Spain, United States","Action & Adventure, Children & Family Movies, Comedies, Crime TV Shows, Dramas, Independent Movies, International Movies, Sci-Fi & Fantasy, TV Dramas, TV Thrillers, Thrillers",1,0.21739130434782608,0.19557149259176568,0.40983016695451935,0.06945611328558414
Michael Palin,"Canada, France, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Classic & Cult TV, Classic Movies, Comedies, Cult Movies, Documentaries, Docuseries, Dramas, Independent Movies, International TV Shows, TV Comedies",4,0.2608695652173913,0.2520661496038432,0.43819811875367426,0.056601732629966595
Chris O'Dowd,"Australia, Canada, United Kingdom, United States","Action & Adventure, British TV Shows, Classic & Cult TV, Comedies, Crime TV Shows, Dramas, Independent Movies, International TV Shows, Kids' TV, Romantic Movies, Sci-Fi & Fantasy, TV Comedies, TV Dramas",1,0.2608695652173913,0.2460895019427396,0.43819811875367426,0.09972679901783181
TV Action & Adventure,,"Antonio Banderas, Ben Kingsley, Fred Tatasciore, Gary Cole, Helena Bonham Carter, J.K. Simmons, Jason Isaacs, Jason Schwartzman, Jay Baruchel, Keegan-Michael Key, Kiernan Shipka, Mae Whitman, Nicholas Hoult, Ron Perlman, Stephanie Sheh, Steven Yeun",2,0.32608695652173914,0.31498574235596144,0.3131677350427351,0.08327925197610256
Joe Pantoliano,"Australia, United States","Action & Adventure, Children & Family Movies, Classic Movies, Comedies, Crime TV Shows, Dramas, Independent Movies, Music & Musicals, Romantic Movies, Sci-Fi & Fantasy, Sports Movies, TV Dramas, TV Mysteries",0,0.2608695652173913,0.242571517016977,0.43819811875367426,0.16547892366694472
Crime TV Shows,,"Alfonso Herrera, Anupam Kher, Ben Whishaw, Bob Balaban, Chris O'Dowd, Edgar Ramírez, Gary Cole, Jason Schwartzman, Jim Broadbent, Joe Pantoliano, John Leguizamo, Laura Linney, Mae Whitman, Mike Vogel, Penélope Cruz, Radhika Apte, Richard Armitage, Ron Perlman, Sam Neill, Yuki Kaji",1,0.41304347826086957,0.41209523413030175,0.43099415204678365,0.15010818467010636
Kiernan Shipka,"Australia, Canada, United States","Children & Family Movies, Comedies, Dramas, Horror Movies, Independent Movies, Kids' TV, LGBTQ Movies, Sci-Fi & Fantasy, TV Action & Adventure, TV Comedies, TV Dramas, TV Horror, TV Mysteries, TV Sci-Fi & Fantasy, Teen TV Shows, Thrillers",2,0.32608695652173914,0.3150394724247107,0.4830752884031572,0.22415537858250345
