id,Degree,Closeness,PageRank,Betweenness,Degree_norm,Closeness_norm,PageRank_norm,Betweenness_norm,Community,country,genres_list
Richard Armitage,12,0.4607329842931937,0.010130149884241943,0.017329580056334892,0.2391304347826087,0.4238656195462478,0.24236393985151583,0.19653554538724424,1,"Canada, South Korea, United Kingdom, United States","Action & Adventure, Anime Series, British TV Shows, Crime TV Shows, Dramas, Independent Movies, International Movies, International TV Shows, Romantic TV Shows, TV Dramas, TV Horror, TV Thrillers"
Faith & Spirituality,7,0.37606837606837606,0.006490041884403653,0.0008400078096306853,0.13043478260869565,0.17497625830959168,0.12567753253904418,0.009526566279080802,1,,"Hugh Bonneville, Keegan-Michael Key, Martin Sheen, Mike Vogel, Morgan Freeman, Radhika Apte, Steven Yeun"
Alfonso Herrera,11,0.45595854922279794,0.009684409838408672,0.01129913129901237,0.21739130434782608,0.40983016695451935,0.22807540650418343,0.12814395530846687,3,"Brazil, Spain, United States","Comedies, Crime TV Shows, Dramas, Independent Movies, International Movies, International TV Shows, Romantic TV Shows, Spanish-Language TV Shows, TV Dramas, TV Mysteries, Thrillers"
Jason Schwartzman,12,0.4607329842931937,0.009702879365793293,0.01622024812122065,0.2391304347826087,0.4238656195462478,0.2286674611342566,0.18395456211041836,2,"Australia, Canada, Japan, Spain, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Crime TV Shows, Cult Movies, Dramas, Independent Movies, Music & Musicals, TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows"
Action & Adventure,42,0.6197183098591549,0.030492438989379124,0.07970638012446427,0.8913043478260869,0.8912363067292643,0.8950924744010108,0.9039536352110356,4,,"Alison Pill, Antonio Banderas, Anupam Kher, Ben Kingsley, Ben Whishaw, Chris O'Dowd, Edgar Ramírez, Fred Tatasciore, Gary Cole, Guy Pearce, Helen Mirren, Helena Bonham Carter, J.K. Simmons, James Cromwell, Jason Isaacs, Jason Schwartzman, Jay Baruchel, Jim Broadbent, Joe Pantoliano, John Cleese, John Leguizamo, Johnny Depp, Keith David, Laura Linney, Laurence Fishburne, Mae Whitman, Michael Palin, Mike Vogel, Morgan Freeman, Nicholas Hoult, Radhika Apte, Richard Armitage, Ron Perlman, Sam Neill, Samuel L. Jackson, Stephanie Sheh, Stephen Fry, Steven Yeun, Susan Sarandon, Sylvester Stallone, Terry Crews, Yuki Kaji"
Steven Yeun,13,0.4656084656084656,0.010340763695101538,0.009038194100569039,0.2608695652173913,0.43819811875367426,0.24911532440403084,0.10250256504177473,2,"Japan, South Korea, United States","Action & Adventure, Children & Family Movies, Classic & Cult TV, Comedies, Dramas, Faith & Spirituality, Independent Movies, International Movies, Kids' TV, TV Action & Adventure, TV Comedies, TV Dramas, TV Sci-Fi & Fantasy"
Edgar Ramírez,11,0.45595854922279794,0.008670429206184674,0.006124313407087714,0.21739130434782608,0.40983016695451935,0.19557149259176568,0.06945611328558414,1,"Brazil, France, Spain, United States","Action & Adventure, Children & Family Movies, Comedies, Crime TV Shows, Dramas, Independent Movies, International Movies, Sci-Fi & Fantasy, TV Dramas, TV Thrillers, Thrillers"
Michael Palin,13,0.4656084656084656,0.010432816597092064,0.004990874576940175,0.2608695652173913,0.43819811875367426,0.2520661496038432,0.056601732629966595,4,"Canada, France, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Classic & Cult TV, Classic Movies, Comedies, Cult Movies, Documentaries, Docuseries, Dramas, Independent Movies, International TV Shows, TV Comedies"
Chris O'Dowd,13,0.4656084656084656,0.0102463712049982,0.008793440107418367,0.2608695652173913,0.43819811875367426,0.2460895019427396,0.09972679901783181,1,"Australia, Canada, United Kingdom, United States","Action & Adventure, British TV Shows, Classic & Cult TV, Comedies, Crime TV Shows, Dramas, Independent Movies, International TV Shows, Kids' TV, Romantic Movies, Sci-Fi & Fantasy, TV Comedies, TV Dramas"
TV Action & Adventure,16,0.4230769230769231,0.012395634016864257,0.007343172764539634,0.32608695652173914,0.3131677350427351,0.31498574235596144,0.08327925197610256,2,,"Antonio Banderas, Ben Kingsley, Fred Tatasciore, Gary Cole, Helena Bonham Carter, J.K. Simmons, Jason Isaacs, Jason Schwartzman, Jay Baruchel, Keegan-Michael Key, Kiernan Shipka, Mae Whitman, Nicholas Hoult, Ron Perlman, Stephanie Sheh, Steven Yeun"
Joe Pantoliano,13,0.4656084656084656,0.010136625388270065,0.014591153216951718,0.2608695652173913,0.43819811875367426,0.242571517016977,0.16547892366694472,0,"Australia, United States","Action & Adventure, Children & Family Movies, Classic Movies, Comedies, Crime TV Shows, Dramas, Independent Movies, Music & Musicals, Romantic Movies, Sci-Fi & Fantasy, Sports Movies, TV Dramas, TV Mysteries"
Crime TV Shows,20,0.4631578947368421,0.015425027465592243,0.013235833743083012,0.41304347826086957,0.43099415204678365,0.41209523413030175,0.15010818467010636,1,,"Alfonso Herrera, Anupam Kher, Ben Whishaw, Bob Balaban, Chris O'Dowd, Edgar Ramírez, Gary Cole, Jason Schwartzman, Jim Broadbent, Joe Pantoliano, John Leguizamo, Laura Linney, Mae Whitman, Mike Vogel, Penélope Cruz, Radhika Apte, Richard Armitage, Ron Perlman, Sam Neill, Yuki Kaji"
Kiernan Shipka,16,0.4808743169398907,0.012397310161134963,0.0197649670473078,0.32608695652173914,0.4830752884031572,0.3150394724247107,0.22415537858250345,2,"Australia, Canada, United States","Children & Family Movies, Comedies, Dramas, Horror Movies, Independent Movies, Kids' TV, LGBTQ Movies, Sci-Fi & Fantasy, TV Action & Adventure, TV Comedies, TV Dramas, TV Horror, TV Mysteries, TV Sci-Fi & Fantasy, Teen TV Shows, Thrillers"
Laurence Fishburne,13,0.4656084656084656,0.010335517384222231,0.006026003121062478,0.2608695652173913,0.43819811875367426,0.24894714995201517,0.06834117191837641,4,"Australia, Canada, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Classic Movies, Comedies, Docuseries, Dramas, Horror Movies, Sci-Fi & Fantasy, TV Horror, TV Mysteries, TV Thrillers, Thrillers"
Anime Features,2,0.3384615384615385,0.003260724709739537,0.000154044682557738,0.021739130434782608,0.06442307692307704,0.022159334946896654,0.0017470276603397965,3,,"Jim Broadbent, Yuki Kaji"
TV Sci-Fi & Fantasy,12,0.4,0.009675776112336717,0.0037468365782581912,0.2391304347826087,0.24532828282828295,0.22779864590337123,0.042493041838925626,2,,"Fred Tatasciore, Gary Cole, Helena Bonham Carter, J.K. Simmons, Jason Isaacs, Jason Schwartzman, Jay Baruchel, Keegan-Michael Key, Kiernan Shipka, Ron Perlman, Steven Yeun, Susan Sarandon"
Thrillers,28,0.4943820224719101,0.020597379996173445,0.023239742212122362,0.5869565217391305,0.5227840199750312,0.577898895498015,0.26356295971804505,3,,"Alfonso Herrera, Alison Pill, Antonio Banderas, Anupam Kher, Ben Kingsley, Ben Whishaw, Bob Balaban, Edgar Ramírez, Emma Roberts, Gary Cole, Guy Pearce, Helen Mirren, Jim Broadbent, John Leguizamo, Johnny Depp, Kiernan Shipka, Laura Linney, Laurence Fishburne, Martin Sheen, Mike Vogel, Morgan Freeman, Nicholas Hoult, Penélope Cruz, Radhika Apte, Ron Perlman, Sam Neill, Samuel L. Jackson, Terry Crews"
Keegan-Michael Key,14,0.47058823529411764,0.01111853974151762,0.012114187471823872,0.2826086956521739,0.45283719548425433,0.274047522172345,0.13738754395423972,2,"Canada, United Kingdom, United States","Children & Family Movies, Comedies, Dramas, Faith & Spirituality, Independent Movies, Kids' TV, LGBTQ Movies, Music & Musicals, Romantic Movies, Romantic TV Shows, TV Action & Adventure, TV Comedies, TV Dramas, TV Sci-Fi & Fantasy"
