id,Degree,Closeness,PageRank,Betweenness,Degree_norm,Closeness_norm,PageRank_norm,Betweenness_norm,country,genres_list
Peyton Reed,5,0.49295774647887325,0.019584954573332713,0.008267038415969869,0.05555555555555555,0.1866197183098593,0.049028497407146376,0.02618365038461859,"United Kingdom, United States","Action & Adventure, Comedies, Dramas, Romantic Movies, Sci-Fi & Fantasy"
Comedies,17,0.5555555555555556,0.061164113717797855,0.10962001636089058,0.7222222222222222,0.490740740740741,0.7189950719212452,0.5431677270240383,,"Ashutosh Gowariker, Bong Joon Ho, Don Michael Paul, Ivan Reitman, Jeremy Saulnier, Kevin Smith, McG, Mike Newell, Navaniat Singh, Nicolás López, Paul Weitz, Peyton Reed, Priyadarshan, Renny Harlin, Ron Howard, Terry Gilliam, Tim Burton"
Sam Raimi,5,0.5072463768115942,0.020004116322931004,0.009991364726400397,0.05555555555555555,0.2560386473429954,0.055782466638943255,0.0349791417801199,United States,"Action & Adventure, Classic Movies, Cult Movies, Horror Movies, Sci-Fi & Fantasy"
Classic Movies,10,0.45454545454545453,0.03872656460028735,0.040104517451421684,0.3333333333333333,0.0,0.35745798863101214,0.18858114511451868,,"Brian De Palma, Clint Eastwood, Ivan Reitman, Mike Newell, Quentin Tarantino, Sam Raimi, Sergio Leone, Steven Spielberg, Terry Gilliam, Youssef Chahine"
Mike Newell,5,0.5072463768115942,0.01985159699887496,0.012481375406613182,0.05555555555555555,0.2560386473429954,0.0533249169629144,0.047680257212876775,"France, United Kingdom, United States","Classic Movies, Comedies, Dramas, International Movies, Romantic Movies"
Ashutosh Gowariker,5,0.5072463768115942,0.019596800648388254,0.008914842107248775,0.05555555555555555,0.2560386473429954,0.04921937366558207,0.02948798539252959,United Kingdom,"Action & Adventure, Comedies, Dramas, International Movies, Romantic Movies"
Nicolás López,5,0.5072463768115942,0.019602200591122186,0.007256675523816509,0.05555555555555555,0.2560386473429954,0.0493063831484688,0.021029963364642724,United States,"Action & Adventure, Comedies, Dramas, Horror Movies, International Movies"
Renny Harlin,4,0.49295774647887325,0.01656648424304161,0.0031338224043658994,0.0,0.1866197183098593,0.0003917700401676738,0.0,"France, Italy, Japan, United States","Action & Adventure, Comedies, Horror Movies, Sci-Fi & Fantasy"
Sci-Fi & Fantasy,15,0.5223880597014925,0.054896895225146354,0.08028109994252043,0.6111111111111112,0.3296019900497511,0.6180111417108127,0.39351496968330213,,"Clint Eastwood, Don Michael Paul, Guillermo del Toro, Ivan Reitman, Lilly Wachowski, McG, Paul Weitz, Peter Chelsom, Peyton Reed, Renny Harlin, Ron Howard, Sam Raimi, Steven Spielberg, Terry Gilliam, Tim Burton"
Romantic Movies,10,0.45454545454545453,0.037516356470329276,0.03016200125664732,0.3333333333333333,0.0,0.33795785895162067,0.13786608317306046,,"Ashutosh Gowariker, Guillermo del Toro, Ivan Reitman, Kevin Smith, Mike Newell, Navaniat Singh, Peter Chelsom, Peyton Reed, Priyadarshan, Youssef Chahine"
Paul Weitz,6,0.5223880597014925,0.02271290863999976,0.01017228319208543,0.1111111111111111,0.3296019900497511,0.0994293403871884,0.03590197570000754,"France, United Kingdom, United States","Action & Adventure, Comedies, Dramas, Horror Movies, International Movies, Sci-Fi & Fantasy"
