Actor,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm,Community_Louvain
Jackie Shroff,41,0.041041041041041,0.0010280605234025,0.2811213039523542,0.0013741031932399,0.4019607843137255,0.0108320355378768,0.6735159817351598,0.3823037491897298,0
Stanley Tucci,32,0.032032032032032,0.0022961729464341,0.3597695577242692,0.0011345521284094,0.3137254901960784,0.024193348923238,0.8619430241051863,0.3074731425775067,5
Tinnu Anand,36,0.036036036036036,0.0005368203713527,0.2851082631111575,0.001276907916103,0.3529411764705882,0.0056561430067402,0.6830680173661361,0.3519420325630712,0
William H. Macy,39,0.039039039039039,0.0028851960714203,0.3922935280959972,0.0013688276622547,0.3823529411764705,0.0303995199386998,0.9398645957785742,0.3806557866390062,5
Mike Epps,32,0.032032032032032,0.0013295667803856,0.3511761315682884,0.0011445255253225,0.3137254901960784,0.0140088197992966,0.8413547237076648,0.3105886175244685,5
Ajay Devgn,38,0.038038038038038,0.0013330537527952,0.2802415502273255,0.0015238105680287,0.3725490196078431,0.0140455598629419,0.6714082503556188,0.4290691170568848,0
John Michael Higgins,37,0.037037037037037,0.0017791757106702,0.3745433646574331,0.0011237726838267,0.3627450980392157,0.0187460699904341,0.8973384030418251,0.3041058756541309,5
Benedict Wong,69,0.069069069069069,0.0037543952781786,0.3895014033408656,0.0019128606997223,0.6764705882352942,0.0395577324006843,0.9331751680506128,0.5506000206151126,6
Salma Hayek,37,0.037037037037037,0.0017846509441888,0.3822464295883,0.0010934132478054,0.3627450980392157,0.0188037591271153,0.915793558401242,0.2946222400230854,5
Richard Mofe-Damijo,16,0.016016016016016,0.0008583718837559,0.2062929945652458,0.0015568204194671,0.1568627450980392,0.0090441316808715,0.4942408376963351,0.4393806855279447,3
Ryohei Kimura,56,0.056056056056056,0.0001433815610174,0.2542718247416234,0.0011704136820215,0.5490196078431373,0.0015107225003414,0.609189468249871,0.3186755215473215,1
Shizuka Ito,58,0.058058058058058,0.0036592039011139,0.2929949580752674,0.001213195756191,0.5686274509803921,0.0385547599532542,0.7019631171921475,0.332039722472487,1
Andy Serkis,43,0.043043043043043,0.0020202562020704,0.3622835781717723,0.0013178316609556,0.4215686274509804,0.0212861854708856,0.8679661640308937,0.3647257313302989,6
Jesse Plemons,49,0.049049049049049,0.0020944858716066,0.3687941029760573,0.001365250387524,0.4803921568627451,0.0220682974186529,0.8835642081617373,0.379538322860225,6
John Leguizamo,45,0.045045045045045,0.003547537027645,0.3815062157432413,0.0014016458088142,0.4411764705882353,0.0373781954278351,0.9140201394268008,0.3909074706241116,5
Ray Liotta,43,0.043043043043043,0.0081357706646798,0.4042056007587398,0.0013037264439289,0.4215686274509804,0.0857215649873918,0.9684037751333606,0.3603195645397168,5
Nawazuddin Siddiqui,21,0.021021021021021,0.0001014734182119,0.2392637962227469,0.0007894103600676,0.2058823529411764,0.0010691624152474,0.5732329366043236,0.1996582684900026,0
Viola Davis,33,0.033033033033033,0.0010151101869719,0.3626837441270431,0.0011542553652688,0.3235294117647059,0.0106955858821889,0.8689248895434462,0.3136280105070466,5
Manoj Joshi,41,0.041041041041041,0.0011344214425485,0.2784197425237561,0.0013865689546576,0.4019607843137255,0.0119526945164137,0.6670435274166197,0.3861977852668583,0
Asrani,40,0.04004004004004,0.0009488409337146,0.2804010956587102,0.0014297605128322,0.392156862745098,0.0099973478991029,0.6717904924565898,0.3996899001987017,0
Brendan Gleeson,43,0.043043043043043,0.0034130517507983,0.3862937447251173,0.0013381515290739,0.4215686274509804,0.0359612075511844,0.9254901960784314,0.3710732216186474,5
Bimbo Manuel,14,0.014014014014014,0.0218250402730477,0.2587467951271471,0.0011464423922891,0.1372549019607843,0.2299569008552088,0.6199106908326767,0.3111874055866468,3
Will Smith,36,0.036036036036036,0.0016828843904973,0.382098157117552,0.0012135896417977,0.3529411764705882,0.0177315081252918,0.9154383242823896,0.3321627638745401,5
Ciarán Hinds,28,0.028028028028028,0.0010708862551527,0.3540794568831952,0.0009630154065115,0.2745098039215686,0.0112832636880617,0.8483105679367363,0.2538887556119566,5
Antonio Banderas,46,0.046046046046046,0.0021943025891571,0.3801810301231374,0.001635676761864,0.4509803921568627,0.0231200042074734,0.9108452335005788,0.4640137128991716,5
Anton Yelchin,47,0.047047047047047,0.0036144381122319,0.4022250098199465,0.0014907872576158,0.4607843137254901,0.0380830906254152,0.9636586361780318,0.418753344291299,4
Amy Adams,38,0.038038038038038,0.0015600947625269,0.3665980830104388,0.0011948737480935,0.3725490196078431,0.0164377500404511,0.8783029400818758,0.3263163207365768,5
Julia Roberts,52,0.052052052052052,0.0040811232412059,0.388273176605853,0.0016214879391408,0.5098039215686274,0.0430002621216165,0.9302325581395348,0.4595814294850352,5
Steven Yeun,36,0.036036036036036,0.0024126566090625,0.3800343553429973,0.0014502492532457,0.3529411764705882,0.0254206649658744,0.9104938271604938,0.4060901425643128,4
Tiffany Haddish,41,0.041041041041041,0.0016354476537771,0.3765478016242542,0.0013133775101041,0.4019607843137255,0.0172316966781478,0.9021406727828746,0.3633343502884517,5
Salman Khan,36,0.036036036036036,0.000446166616586,0.2719627413166894,0.0015396394712796,0.3529411764705882,0.0047009806686075,0.6515737161789068,0.4340137263956289,0
Amrish Puri,35,0.035035035035035,0.004589824053835,0.3022550012424207,0.001283034451636,0.3431372549019608,0.0483601267940845,0.7241485118134398,0.3538558306532172,0
David Spade,47,0.047047047047047,0.0016452976304307,0.3661892375647022,0.0018547719376009,0.4607843137254901,0.0173354797674996,0.8773234200743494,0.5324543391923693,5
Hiroki Yasumoto,51,0.051051051051051,0.0012211483630189,0.2843675083859842,0.0010001764722115,0.5,0.0128664822392575,0.6812933025404158,0.265497074241855,1
Mary Elizabeth Winstead,40,0.04004004004004,0.0070663635365023,0.3879673292828078,0.0012935474398815,0.392156862745098,0.0744538859420584,0.9294998030720756,0.3571398623408915,4
Sanjay Dutt,36,0.036036036036036,0.0007323113806486,0.2800821862522175,0.0011559537742205,0.3529411764705882,0.0077159104151995,0.6710264429911856,0.3141585569783129,0
David Oyelowo,38,0.038038038038038,0.0022861271510751,0.3832875677233654,0.0012186550056784,0.3725490196078431,0.0240875026137479,0.9182879377431908,0.3337450747366317,5
Bradley Cooper,54,0.054054054054054,0.0185473259272174,0.4035432400856407,0.001524470576995,0.5294117647058824,0.1954216595257072,0.966816878328554,0.429275289679615,5
Michael Sheen,39,0.039039039039039,0.0021964908606586,0.3812109322945236,0.0011687004243312,0.3823529411764705,0.023143060665854,0.913312693498452,0.3181403366491152,5
Lake Bell,44,0.044044044044044,0.003406799353116,0.3795950092674563,0.0016257708007178,0.4313725490196078,0.0358953299181563,0.9094412331406552,0.4609193034371771,5
Kenta Miyake,67,0.067067067067067,0.0001611665886434,0.2538132051144161,0.0015231249186648,0.6568627450980392,0.0016981122958854,0.6080906982736408,0.4288549349247438,1
Steve Zahn,46,0.046046046046046,0.0021534535102192,0.3718569456583802,0.0013547179473742,0.4509803921568627,0.0226896028209086,0.8909022272555681,0.3762482148155273,5
Glenn Close,31,0.031031031031031,0.0015113169503674,0.3714362930049205,0.0010072038498816,0.3039215686274509,0.0159238085139128,0.8898944193061841,0.2676922760637491,5
Christina Hendricks,38,0.038038038038038,0.0048696468410218,0.3960792316240648,0.0011691379400718,0.3725490196078431,0.0513084457948803,0.9489344591877764,0.318277007167745,4
Greg Kinnear,57,0.057057057057057,0.0036152237481685,0.3938620747897038,0.0015791298668348,0.5588235294117647,0.0380913683835731,0.9436225509796085,0.446349677633588,2
Sanjay Mishra,36,0.036036036036036,0.001114201734928,0.2711392923338973,0.0013378494223212,0.3529411764705882,0.0117396520091629,0.6496008808147536,0.3709788499589713,0
Don Cheadle,56,0.056056056056056,0.0040342777564197,0.3899639940811754,0.0017546946599402,0.5490196078431373,0.0425066803290639,0.934283452098179,0.5011923475132881,5
Jim Cummings,35,0.035035035035035,0.0021138907023665,0.3685181627568459,0.0010646448250424,0.3431372549019608,0.0222727540742806,0.8829031051253273,0.2856356027557672,4
